sid,scaden_epi,scaden_lymph,scaden_conn,epi_pan_neo,inflam,connective,dead,epi_pan_non_neo,epi_pan_perc,inflam_perc,connective_perc,dead_perc,epi_mon,lymph,macro,neutro,epi_mon_perc,lymph_perc,macro_perc,neutro_perc,epi_manual,lymph_manual,combined_neo_epi,combined_inflam,combined_conn,combined_dead,combined_epi_non_neo,combined_mon_unique_epi,combined_lymph,combined_macro,combined_neutro,combined_epi_perc,combined_inflam_perc,combined_conn_perc,combined_dead_perc,combined_lymph_perc,combined_macro_perc,combined_neutro_perc,scaden_own_epi,scaden_own_lymph
s_381,48.297496,5.5767586,18.8023946,62338,1015,100247,233,5392,40.0236,0.5998,59.2389,0.1377,53432,4500,4032,113,86.07,7.25,6.5,0.18,40,1,74451,4796,88211,306,1461,2973,81,2055,13,45.246,2.7508,50.5951,0.1755,0.0465,1.1787,0.0075,39.1026364,5.3068733
s_382,47.8804828,5.7729845,19.2307728,248141,8374,342412,1499,17490,42.9882,1.3552,55.414,0.2426,210879,21609,12868,248,85.86,8.8,5.24,0.1,60,0,285925,23831,302929,1520,3711,10566,261,5233,14,47.3512,3.7589,47.7814,0.2398,0.0412,0.8254,0.0022,38.815393,5.235762
s_383,48.5506596,5.7409451,19.185625,30675,2006,42978,637,1650,41.471,2.5736,55.1382,0.8172,23790,4300,1908,42,79.19,14.31,6.35,0.14,50,0,34573,4841,37610,574,348,922,49,544,4,45.1054,6.092,47.329,0.7223,0.0617,0.6846,0.005,39.4268374,5.467638
s_384,52.986844,5.4041131,16.2217636,145596,1496,240939,1130,3700,38.0022,0.3808,61.3293,0.2876,88651,5746,12158,163,83.07,5.38,11.39,0.15,50,1,159705,6137,224652,1060,1307,5191,216,6436,38,41.0639,1.5163,55.505,0.2619,0.0534,1.5901,0.0094,42.52981,5.7242589
s_385,50.4049188,5.2298887,17.4352412,34215,1008,118272,409,3256,23.8426,0.6414,75.2558,0.2602,24581,2563,1692,47,85.11,8.87,5.86,0.16,50,0,40378,2962,112204,442,1174,1188,42,638,3,26.8753,1.8625,70.5548,0.2779,0.0264,0.4012,0.0019,41.924709,5.3280458
s_386,46.811792,5.854306,19.577512,250881,2437,194354,479,26888,58.4729,0.513,40.9133,0.1008,228071,15267,4383,90,92.03,6.16,1.77,0.04,50,1,289448,15939,164716,524,4412,6984,152,2410,9,62.0817,3.2891,33.9905,0.1081,0.0314,0.4973,0.0019,39.6847251,4.6946127
s_387,44.8476976,6.1289854,20.7199558,116572,2123,182670,521,16439,41.7847,0.6669,57.3847,0.1637,109102,11296,3582,105,87.93,9.1,2.89,0.08,50,1,144907,11895,157399,575,3549,4300,175,2528,10,46.953,3.6562,48.3801,0.1767,0.0538,0.777,0.0031,38.1694747,5.0570913
s_388,45.7296107,6.3232446,19.7954364,187852,2643,308210,522,14858,39.4312,0.5141,59.9531,0.1015,160867,15872,4122,142,88.88,8.77,2.28,0.08,50,1,222290,16645,270957,590,3603,8004,187,1560,2,44.6506,3.1775,51.7253,0.1126,0.0357,0.2978,0.0004,37.5768893,5.2192902
s_389,51.2512652,5.2931679,17.6153057,221253,1496,143979,428,5542,60.8522,0.4014,38.6315,0.1148,138397,7241,5951,79,91.25,4.77,3.92,0.05,50,0,237299,7645,125786,429,1539,6618,86,2813,11,64.2175,2.0001,32.9088,0.1122,0.0225,0.736,0.0029,41.862531,5.3727325
s_39,55.2435672,5.2991456,16.1048208,157192,441,68050,349,3692,70.0336,0.192,29.6225,0.1519,88942,2119,2014,82,95.48,2.27,2.16,0.09,70,0,164819,2294,61013,391,1207,4149,17,855,7,72.4914,0.9772,25.9904,0.1666,0.0072,0.3642,0.003,43.560356,6.091133
s_390,50.7010402,5.4439416,17.9061324,117152,1330,140814,450,5726,46.2866,0.501,53.0429,0.1695,76786,5950,5310,39,87.17,6.75,6.03,0.04,50,1,129084,6331,127837,429,1791,4411,51,2512,1,49.6559,2.3238,46.9218,0.1575,0.0187,0.922,0.0004,41.800414,5.4794896
s_391,48.645016,5.6220005,18.8283286,48343,3371,106825,1045,2595,31.4085,2.0786,65.8686,0.6443,36859,8423,4190,136,74.3,16.98,8.45,0.27,50,0,57700,9347,93418,1024,690,1759,80,1459,2,36.3484,5.6485,56.4531,0.6188,0.0483,0.8817,0.0012,38.9161135,5.49617
s_393,52.7483208,5.4346189,16.8672321,197922,3430,111916,892,3571,63.4162,1.0795,35.2235,0.2807,88420,5873,11937,116,83.14,5.52,11.22,0.11,50,0,202593,6963,106294,794,1087,5218,80,5144,8,63.6533,2.1217,32.3888,0.2419,0.0244,1.5674,0.0024,42.0553936,5.8495441
s_394,51.7988543,5.3459998,17.7475548,111907,923,104350,343,2871,52.0786,0.4188,47.347,0.1556,63971,2676,2977,242,91.56,3.83,4.26,0.35,50,0,118248,2984,97817,459,886,3602,79,1662,83,54.3513,1.3214,43.3164,0.2033,0.035,0.736,0.0368,40.844393,5.5453682
s_395,47.9132125,5.9167216,18.9829055,208611,1215,184046,405,13922,54.5158,0.2976,45.0873,0.0992,151847,5857,3058,326,94.26,3.64,1.9,0.2,50,0,229576,6255,168303,729,3336,6467,72,1394,3,57.5244,1.5031,40.4443,0.1752,0.0173,0.335,0.0007,39.9913859,5.0452974
s_396,54.7034834,5.3039497,16.0685115,129593,2091,96248,378,2990,57.3208,0.904,41.6118,0.1634,85724,6871,4269,193,88.32,7.08,4.4,0.2,50,0,140097,7328,82624,557,694,4608,53,1677,6,61.1835,3.0836,34.768,0.2344,0.0223,0.7057,0.0025,44.375841,5.7620103
s_397,51.2022206,5.5325438,18.0864677,141236,1403,153344,610,11132,49.5143,0.4559,49.8315,0.1982,90519,4191,4139,192,91.4,4.23,4.18,0.19,50,0,155080,4851,144160,677,2957,3975,120,2656,51,51.5097,1.5423,45.8339,0.2152,0.0382,0.8444,0.0162,42.3865156,5.2104115
s_398,50.916796,5.4054515,18.1707419,99087,498,88298,215,3299,53.494,0.2602,46.1334,0.1123,59527,2148,929,42,95.02,3.43,1.48,0.07,60,0,105240,2361,82621,226,949,2995,20,434,2,56.0355,1.2117,42.4028,0.116,0.0103,0.2227,0.001,40.192401,5.5668866
s_4,44.317109,6.350972,20.4953343,105024,2012,138337,400,3993,43.6477,0.8056,55.3866,0.1601,88618,9264,4559,186,86.35,9.03,4.44,0.18,40,1,126715,9769,111956,554,772,5082,96,1685,9,51.656,3.8065,43.6241,0.2159,0.0374,0.6566,0.0035,38.1457136,5.1273305
s_40,49.8610084,5.6793354,18.2187535,116844,920,111861,228,5175,51.9168,0.3914,47.5948,0.097,92280,4810,1567,233,93.32,4.86,1.58,0.24,50,0,131467,5081,96485,475,1520,3770,60,624,7,57.1037,2.1216,40.2879,0.1983,0.0251,0.2606,0.0029,41.6611642,5.2235696
s_401,52.6609907,5.3882211,17.3895482,84499,656,60832,387,920,57.9922,0.4454,41.2997,0.2627,29612,2305,1903,124,87.24,6.79,5.61,0.37,50,0,88046,2512,55945,438,353,1878,38,908,12,60.1326,1.6732,37.2644,0.2917,0.0253,0.6048,0.008,42.705212,5.4218542
s_402,50.8439885,5.4576748,17.8930204,98367,999,89365,521,2315,52.5571,0.5215,46.6495,0.272,43340,3041,6439,281,81.62,5.73,12.13,0.53,50,0,104752,3376,81840,755,844,2494,38,4541,22,54.409,1.6994,41.1956,0.38,0.0191,2.2858,0.0111,41.2283911,5.6567764
s_403,36.9226577,6.8891127,24.0646604,17755,900,48274,341,1234,27.7195,1.3138,70.4689,0.4978,10255,1778,3772,29,64.77,11.23,23.82,0.18,40,1,20151,2112,45507,318,416,774,40,2690,3,29.6358,2.9329,63.1945,0.4416,0.0555,3.7355,0.0042,32.9286163,5.0982982
s_404,47.461351,6.1284916,18.3542604,177522,1812,131910,1526,6629,57.6555,0.5673,41.2994,0.4778,126529,5494,5942,160,91.6,3.98,4.3,0.12,60,0,192449,6107,117595,1507,1741,5928,76,3046,7,60.9269,1.8593,35.8024,0.4588,0.0231,0.9274,0.0021,40.2789168,5.0933406
s_405,51.5432646,5.5790462,17.1088828,181738,1413,129739,756,15973,59.9817,0.4287,39.3603,0.2294,133829,5184,5094,187,92.75,3.59,3.53,0.13,50,0,201285,5642,117516,866,4310,6110,53,2237,3,62.6305,1.6691,34.7658,0.2562,0.0157,0.6618,0.0009,42.5969635,5.3804611
s_406,49.5412182,5.1573801,18.4447406,115265,1067,142111,614,8207,46.1985,0.3992,53.1725,0.2297,78076,3204,3248,141,92.21,3.78,3.84,0.17,50,0,127189,3657,132836,722,2860,4446,38,1532,6,49.214,1.3382,48.607,0.2642,0.0139,0.5606,0.0022,41.075687,5.3703083
s_407,45.6537104,6.0260684,20.3713672,76995,737,128508,450,4039,38.4541,0.3497,60.9826,0.2135,45082,3124,5645,51,83.64,5.8,10.47,0.09,40,0,86854,3419,118828,430,1198,3042,41,3338,6,41.9486,1.5744,54.7201,0.198,0.0189,1.5371,0.0028,38.4045508,5.0691858
s_408,51.0710971,5.621586,16.9231392,126135,1797,121616,561,9671,52.2773,0.6917,46.815,0.216,85473,5582,3194,511,90.2,5.89,3.37,0.54,50,0,141820,6174,107047,1027,3712,4932,70,1418,18,56.5191,2.3192,40.2103,0.3858,0.0263,0.5326,0.0068,41.9545326,5.2920992
s_409,51.8069333,5.3934179,17.63416,77471,823,73661,392,2357,51.6005,0.532,47.6142,0.2534,42029,2125,3156,170,88.52,4.48,6.65,0.36,50,0,83692,2411,66870,469,1262,3089,52,1594,38,55.2073,1.5118,41.9308,0.2941,0.0326,0.9995,0.0238,41.4057112,5.6683264
s_41,50.5833578,5.6605838,17.86244,145056,1704,136986,894,7011,52.1401,0.5843,46.9692,0.3065,84875,6427,4482,211,88.42,6.7,4.67,0.22,50,0,159344,7049,121883,957,2418,4458,103,2463,35,55.6459,2.3598,40.8031,0.3204,0.0345,0.8245,0.0117,41.7164708,5.3794174
s_410,49.984056,5.4998713,17.8600013,66463,1171,119810,476,4003,36.7158,0.6101,62.4261,0.248,45103,3687,4852,157,83.84,6.85,9.02,0.29,50,0,76305,4113,109475,547,1483,2775,102,2589,34,40.8073,2.0833,55.452,0.2771,0.0517,1.3114,0.0172,40.7354334,5.6586057
s_411,51.372819,5.5239688,17.6480118,153389,1221,184752,426,8541,46.4877,0.3505,53.0395,0.1223,98267,4185,2895,291,93.02,3.96,2.74,0.28,50,0,169402,4605,170851,730,2741,4994,42,1466,2,49.9212,1.2978,48.1497,0.2057,0.0118,0.4132,0.0006,41.697767,5.4999457
s_412,53.2653096,5.1097501,16.8313307,152711,2387,209142,2804,2964,42.0734,0.6451,56.5236,0.7578,68736,6672,9508,145,80.81,7.84,11.18,0.17,50,0,162074,7477,196715,2602,1140,3129,83,3495,12,44.1548,1.9847,52.2169,0.6907,0.022,0.9277,0.0032,43.0139592,5.4857275
s_413,48.8074134,5.671485,19.2499688,60274,1009,55683,374,4237,53.0618,0.8299,45.8006,0.3076,36706,2914,2830,105,86.26,6.85,6.65,0.25,40,0,66441,3268,50146,433,1289,1802,42,1325,10,55.7344,2.6195,40.1953,0.3471,0.0337,1.0621,0.008,40.8436414,5.1525718
s_414,50.1462305,5.4470384,18.3830767,121092,2909,95472,877,5769,56.1036,1.2865,42.222,0.3878,73608,4438,11893,89,81.76,4.93,13.21,0.1,60,0,126619,5245,92052,799,1404,4095,95,5457,15,56.0342,2.2245,39.0413,0.3389,0.0403,2.3144,0.0064,40.4018896,5.3281473
s_415,47.6685225,5.8282387,18.8606341,52213,1756,110668,582,7560,34.5951,1.0163,64.0518,0.3368,45803,5631,3506,53,83.29,10.24,6.38,0.1,40,0,62998,6002,101032,540,2207,2269,94,1234,1,38.2556,3.4029,57.2818,0.3062,0.0533,0.6996,0.0006,40.1116739,5.2484648
s_416,50.4114275,5.7547515,17.6480078,309290,2627,186273,1603,7199,62.4249,0.5182,36.7408,0.3162,173371,8005,8870,244,91.01,4.2,4.66,0.13,60,1,327516,8967,166590,1598,2321,7817,117,3991,48,65.063,1.7279,32.1004,0.3079,0.0225,0.769,0.0092,41.858555,5.3062043
s_417,49.445374,5.3573657,19.4302128,175444,1047,212781,304,9388,46.328,0.2624,53.3334,0.0762,137743,3962,3302,138,94.9,2.73,2.27,0.1,50,0,195722,4345,195759,385,2753,7563,60,1804,9,50.45,1.0639,47.9332,0.0943,0.0147,0.4417,0.0022,42.0628521,5.0804149
s_418,48.8350623,5.7637807,18.1768209,89508,471,79759,121,1902,53.2193,0.2742,46.436,0.0704,62983,1704,1392,87,95.19,2.58,2.1,0.13,50,0,98421,1860,70710,209,561,3483,17,823,4,58.1897,1.0563,40.1561,0.1187,0.0097,0.4674,0.0023,41.0597249,5.1617859
s_419,47.8369434,5.9774639,18.8938517,79744,631,67937,374,5182,55.1941,0.4101,44.1528,0.2431,57470,2107,2813,41,92.05,3.37,4.51,0.07,50,0,87359,2368,62363,380,1398,2175,24,1761,2,57.6139,1.5003,39.5128,0.2408,0.0152,1.1158,0.0013,40.8547405,5.5377934
s_420,49.1089134,5.5324384,18.3229759,100088,1472,141479,531,4624,42.1896,0.5931,57.0034,0.2139,77240,4510,3770,187,90.12,5.26,4.4,0.22,40,0,112733,5068,128476,686,1231,3680,50,1881,8,46.3507,1.9967,50.6184,0.2703,0.0197,0.7411,0.0032,39.8151114,5.2884821
s_421,49.5561453,5.4155594,18.9955105,131325,1423,186768,625,3966,41.7427,0.4391,57.6254,0.1928,87259,3743,5220,278,90.42,3.88,5.41,0.29,50,0,144029,4346,173664,824,1244,5176,52,2457,15,45.3423,1.3098,52.3389,0.2483,0.0157,0.7405,0.0045,40.590661,5.3532003
s_422,51.648,5.5132879,17.5180373,207163,2439,207946,528,13159,51.0909,0.5656,48.221,0.1224,159912,8125,4110,489,92.63,4.71,2.38,0.28,50,0,232717,8577,184533,999,4409,9155,118,1871,24,55.6689,1.9387,41.7115,0.2258,0.0267,0.4229,0.0054,43.143689,5.2037846
s_423,50.2562033,5.7323054,17.7148306,123209,853,103068,395,4385,55.0188,0.3678,44.4431,0.1703,89512,3306,4994,187,91.34,3.37,5.1,0.19,50,1,134700,3514,92135,593,968,4512,28,2848,3,58.5789,1.4684,38.5017,0.2478,0.0117,1.1901,0.0013,42.7151935,5.3261271
s_424,49.2538662,5.1910996,18.8340275,127044,1551,186050,1072,3448,40.8854,0.486,58.2927,0.3359,85370,4493,9685,139,85.64,4.51,9.72,0.14,40,0,138508,5080,173494,994,1089,5744,70,4744,14,44.0779,1.5406,52.6159,0.3015,0.0212,1.4387,0.0042,40.9379516,5.1729699
s_425,47.7513882,6.1605638,18.664364,105611,1398,131180,799,3086,44.9024,0.5775,54.19,0.3301,59959,5044,5426,63,85.06,7.16,7.7,0.09,50,1,114675,5596,120309,777,717,3501,48,2401,2,47.9357,2.2562,48.5066,0.3133,0.0194,0.968,0.0008,39.1735701,5.6167325
s_426,51.6456715,5.4559497,17.4179272,131135,2037,177633,637,7690,43.5008,0.6383,55.6613,0.1996,88993,5901,5205,461,88.5,5.87,5.18,0.46,50,0,145714,6722,163524,971,2201,4694,63,2262,9,46.7896,2.061,50.1361,0.2977,0.0193,0.6935,0.0028,41.4610188,5.326836
s_427,46.955432,5.2973,19.4011517,86650,1000,160036,398,6378,36.5587,0.393,62.8919,0.1564,63660,2989,1602,120,93.11,4.37,2.34,0.18,40,0,95914,3343,152775,461,1969,3595,43,831,7,39.1901,1.291,59.0006,0.178,0.0166,0.3209,0.0027,39.43677,5.1380144
s_428,50.9307431,5.553193,17.6665482,227992,1247,149114,896,5418,60.6785,0.3242,38.7644,0.2329,129380,5355,6740,73,91.4,3.78,4.76,0.05,60,0,243069,5702,133353,899,1644,6547,75,3751,4,63.603,1.4434,33.7565,0.2276,0.019,0.9495,0.001,41.7566583,5.4814424
s_43,44.7055139,6.1808076,20.8184026,59989,4661,156012,2457,3306,27.9541,2.0585,68.9023,1.0851,44686,17119,9916,352,62,23.75,13.76,0.49,60,1,70178,18287,135036,2190,734,1920,177,3306,18,31.414,7.8876,58.2438,0.9446,0.0763,1.4259,0.0078,38.8321812,5.2479818
s_430,49.2736307,5.454254,18.8377002,47844,587,39440,177,846,54.7731,0.6603,44.3674,0.1991,22181,1747,985,52,88.85,7,3.95,0.21,50,0,49990,1939,36476,187,302,1122,26,444,7,56.8154,2.1427,40.3081,0.2066,0.0287,0.4906,0.0077,40.8248003,5.1335154
s_431,52.0036393,5.3075787,17.6397841,104680,1762,119466,769,7924,47.9981,0.7511,50.9231,0.3278,66001,5587,5967,241,84.84,7.18,7.67,0.31,50,0,115434,6108,109571,817,2671,3817,199,3403,28,50.371,2.5235,45.2683,0.3375,0.0822,1.4059,0.0116,42.300712,5.3980898
s_432,49.7803128,5.665963,18.786971,40592,289,38988,102,1265,51.5252,0.3558,47.9935,0.1256,26927,1631,1091,39,90.7,5.49,3.67,0.13,50,0,43901,1693,35145,121,376,1322,22,522,5,54.8678,2.0371,42.2889,0.1456,0.0265,0.6281,0.006,40.9910546,5.4628391
s_433,51.8581374,5.3254195,16.9025258,35483,1899,175763,831,3905,18.0778,0.8716,80.6693,0.3814,26851,5125,2990,181,76.4,14.58,8.51,0.51,60,0,45314,5791,164559,871,1346,1233,116,1360,17,21.7096,2.625,74.5937,0.3948,0.0526,0.6165,0.0077,42.8090851,5.3011485
s_434,51.4738998,5.1915779,17.824329,50841,660,88239,297,1443,36.955,0.4665,62.3685,0.2099,27636,1684,2333,112,87,5.3,7.34,0.35,50,0,55809,1974,82745,374,578,1840,21,1398,8,40.2267,1.3638,57.1653,0.2584,0.0145,0.9658,0.0055,41.170029,5.4898067
s_435,50.8288364,5.6768984,17.7596727,122623,2712,143194,769,7424,46.9955,0.98,51.7465,0.2779,76688,8352,4568,185,85.41,9.3,5.09,0.21,50,1,137916,9174,126616,803,2213,4052,73,2116,17,50.951,3.2419,44.7438,0.2838,0.0258,0.7478,0.006,41.2051062,5.6717723
s_437,52.8466933,4.9818311,17.2524052,298629,5691,309475,1452,33340,51.1834,0.8774,47.7153,0.2239,266214,13729,12124,578,90.97,4.69,4.14,0.2,50,0,342111,15909,280820,1744,8003,11337,209,5042,24,54.3373,2.3916,42.2159,0.2622,0.0314,0.758,0.0036,43.3703441,5.1988437
s_438,52.3479335,5.2116748,17.1789897,60738,1766,70308,865,7728,48.4184,1.2489,49.721,0.6117,53118,3955,2320,189,89.15,6.64,3.89,0.32,50,0,70987,4433,63053,913,2019,2129,75,1156,24,51.8928,3.0617,43.5482,0.6306,0.0518,0.7984,0.0166,43.5722229,5.2848664
s_439,42.3598594,6.8262776,21.1224848,282702,9017,488318,2859,71893,41.4833,1.0549,57.1273,0.3345,291812,47633,2537,950,85.09,13.89,0.74,0.28,50,1,361600,49321,421916,3640,18312,12009,618,1284,51,45.1132,5.6772,48.5658,0.419,0.0711,0.1478,0.0059,36.7984962,5.0184727
s_44,49.9616505,5.6231416,17.83871,182577,2808,219141,836,14278,46.9104,0.6691,52.2212,0.1992,151559,9278,7251,156,90.08,5.51,4.31,0.09,60,0,213214,10153,191593,896,3784,5834,135,3568,16,51.9188,2.3656,44.6403,0.2088,0.0315,0.8313,0.0037,40.7413999,5.3315107
s_440,52.8577682,5.0158169,17.170724,214382,1819,185670,668,11140,54.5162,0.4397,44.8826,0.1615,158381,5279,2953,206,94.94,3.16,1.77,0.12,50,0,235095,5996,168120,844,3624,5891,86,1684,16,58.053,1.423,39.8998,0.2003,0.0204,0.3997,0.0038,42.8961201,5.1828222
s_441,51.8441907,5.4919834,17.1143978,179304,2358,179284,497,16192,51.7685,0.6244,47.4755,0.1316,153932,7457,5477,495,91.98,4.46,3.27,0.3,50,0,210192,8187,153708,899,4649,8251,84,2215,18,57.4679,2.1089,39.5947,0.2316,0.0216,0.5706,0.0046,42.2862647,5.5832532
s_442,52.225487,5.4988194,17.3879418,116116,1203,107239,330,6786,53.0495,0.5193,46.2888,0.1424,94196,4877,4933,123,90.46,4.68,4.74,0.12,50,0,130679,5185,93771,416,1623,4466,65,2405,15,57.315,2.1729,39.2964,0.1743,0.0272,1.0079,0.0063,42.4434237,5.6280693
s_443,50.7823562,5.5768422,17.5054904,53249,927,77977,317,2354,41.2412,0.6876,57.8361,0.2351,38310,3086,2245,88,87.61,7.06,5.13,0.2,50,0,60594,3386,69731,334,779,2117,35,853,9,46.0613,2.4565,50.5891,0.2423,0.0254,0.6188,0.0065,42.032002,5.5624216
s_444,49.6459892,5.8251545,18.1527626,103225,2270,162138,681,7263,40.0933,0.8237,58.8358,0.2471,77370,9447,6170,160,83.06,10.14,6.62,0.17,50,1,121744,10015,141119,758,1941,4034,123,2802,6,45.2035,3.5446,49.9462,0.2683,0.0435,0.9917,0.0021,40.987374,5.6221804
s_445,48.8724793,5.6643773,18.522374,187897,2629,268238,545,17877,43.1224,0.5509,56.2125,0.1142,171743,10535,4833,527,91.53,5.61,2.58,0.28,50,0,224322,11350,236085,1040,4389,6879,95,1907,21,48.4665,2.335,48.5684,0.214,0.0195,0.3923,0.0043,39.2814087,5.3796499
s_446,50.1207289,5.4484977,17.8718161,403643,3306,412769,950,38504,51.462,0.3848,48.0427,0.1106,347966,14205,6922,498,94.15,3.84,1.87,0.13,50,0,456432,15107,373942,1395,12296,17775,158,3104,11,55.2706,1.7163,42.4828,0.1585,0.018,0.3526,0.0012,42.1211343,5.0011039
s_447,52.1693498,5.653525,16.7526548,83723,1595,76927,606,5685,53.0498,0.9464,45.6443,0.3596,73414,4084,2360,94,91.82,5.11,2.95,0.12,50,0,96349,4450,65942,575,1220,2983,48,1020,3,58.2606,2.5784,38.2073,0.3332,0.0278,0.591,0.0017,42.214695,5.5450586
s_448,53.845092,5.2948898,16.5092619,353638,1296,231636,800,10787,60.9246,0.2167,38.725,0.1337,243946,5123,9990,164,94.11,1.98,3.85,0.06,60,0,379270,5579,209136,834,3338,13092,81,5065,15,64.1943,0.9051,33.9281,0.1353,0.0131,0.8217,0.0024,42.439613,5.66632
s_449,49.0746516,5.9395031,17.8278639,256361,3604,227346,1490,11308,53.5221,0.7206,45.4593,0.2979,195298,10622,7303,229,91.5,4.98,3.42,0.11,60,1,286568,11405,197416,1515,3205,11147,118,4198,10,58.3651,2.2121,38.2899,0.2938,0.0229,0.8142,0.0019,40.1900114,5.28459
s_45,44.8439296,5.7074317,20.3524352,133202,2485,92759,680,7155,59.4026,1.0517,39.2579,0.2878,95669,7588,2190,221,90.54,7.18,2.07,0.21,50,0,142496,8607,82916,850,1412,2394,99,985,23,61.0146,3.5895,34.5797,0.3545,0.0413,0.4108,0.0096,37.5888622,4.5651671
s_450,46.1068098,5.7636442,20.948199,67749,512,138510,221,3520,33.8551,0.2432,65.7967,0.105,47275,2033,933,129,93.86,4.04,1.85,0.26,40,0,76371,2207,130349,356,1229,2435,24,421,0,37.5061,1.0342,61.0843,0.1668,0.0112,0.1973,0,37.8761421,5.2028641
s_451,51.8941064,5.3826193,17.7794317,174614,1886,157609,819,12893,53.9091,0.5422,45.3133,0.2355,148422,5987,6422,218,92.16,3.72,3.99,0.14,60,0,199246,6465,137514,921,3675,7343,88,3139,14,58.6666,1.8038,38.3683,0.257,0.0246,0.8758,0.0039,42.0051101,5.638491
s_452,51.308453,5.4274305,17.4249714,87085,1379,182573,513,8144,34.0476,0.493,65.276,0.1834,65988,4465,3513,199,88.97,6.02,4.74,0.27,50,0,105736,4877,165737,694,2650,3943,59,1553,4,39.3787,1.7097,58.1018,0.2433,0.0207,0.5444,0.0014,41.409086,5.4233076
s_455,50.5773413,5.4454873,18.0434477,166596,1409,179205,385,17506,50.425,0.3859,49.0837,0.1055,129160,5939,1988,189,94.09,4.33,1.45,0.14,50,0,190382,6319,162946,562,4892,7217,81,1182,5,54.202,1.6914,43.6167,0.1504,0.0217,0.3164,0.0013,41.7763807,5.137749
s_456,51.142189,5.285629,17.459914,133482,2013,180386,702,7441,43.4915,0.6213,55.6706,0.2167,106140,6291,5478,378,89.73,5.32,4.63,0.32,50,0,154335,6939,159508,906,2336,7237,116,3483,62,48.9392,2.0718,47.6254,0.2705,0.0346,1.0399,0.0185,42.084477,4.9350807
s_457,54.5196744,5.2618752,16.2065752,107044,448,78890,377,2004,57.7698,0.2373,41.7931,0.1997,56154,1776,3004,37,92.1,2.91,4.93,0.06,60,0,114009,1950,71748,375,681,3075,20,1406,3,60.9338,1.009,37.1238,0.194,0.0103,0.7275,0.0016,43.1259196,5.8025938
s_458,47.5521977,5.8974067,20.0599651,61457,4575,92421,573,11844,42.8987,2.6775,54.0885,0.3353,60220,10700,3471,107,80.83,14.36,4.66,0.14,50,0,76870,11510,79358,569,2563,2850,144,1500,6,46.9197,6.5633,45.2518,0.3245,0.0821,0.8553,0.0034,40.0651708,5.3268703
s_459,55.0594294,5.055585,16.1059509,321269,1667,202392,696,6297,61.5354,0.3132,38.0207,0.1307,249462,6772,8982,192,93.99,2.55,3.38,0.07,60,0,349715,7291,172947,747,1621,11503,92,5218,51,66.0686,1.3276,31.4916,0.136,0.0168,0.9501,0.0093,44.031249,5.6782092
s_46,53.9318653,5.3090647,16.5535954,92132,950,85379,178,2716,52.2996,0.5238,47.0784,0.0982,55666,3938,1448,38,91.12,6.45,2.37,0.06,50,0,98066,4272,78125,217,675,2552,35,488,0,54.9222,2.3163,42.3602,0.1177,0.019,0.2646,0,43.4064406,5.6307447
s_460,50.2480419,5.6519112,17.9767876,238340,4452,286404,1984,18630,46.738,0.8097,52.0914,0.3609,193768,16219,9657,423,88.05,7.37,4.39,0.19,60,0,276475,17357,249092,2080,4806,9830,272,5021,52,51.5254,3.0721,44.0883,0.3682,0.0481,0.8887,0.0092,40.9686018,5.4277128
s_461,50.755806,5.464733,18.2571874,95247,567,120340,148,3334,44.8838,0.2582,54.7907,0.0674,71960,2276,1922,58,94.42,2.99,2.52,0.08,50,0,107879,2480,108071,188,1018,4186,31,902,3,50.3132,1.1034,48.0833,0.0836,0.0138,0.4013,0.0013,40.7742896,5.1793351
s_464,45.9157846,5.7899868,19.9972333,106535,3038,272145,243,10479,29.817,0.7741,69.3469,0.0619,103964,9415,3575,303,88.66,8.03,3.05,0.26,40,0,133467,10578,245359,514,2522,7022,145,1326,7,35.6689,2.6383,61.1959,0.1282,0.0362,0.3307,0.0017,39.383257,5.0652401
s_465,54.2686805,5.1540165,16.5207002,215237,892,156552,482,5840,58.3312,0.2354,41.3063,0.1272,139598,4038,7952,76,92.04,2.66,5.24,0.05,60,0,227882,4231,144482,487,1921,10293,75,4027,3,61.0309,1.0755,36.7264,0.1238,0.0191,1.0236,0.0008,44.6323643,5.6550996
s_466,54.4280585,5.257285,16.3236889,193000,2717,144025,594,12857,58.2846,0.7693,40.778,0.1682,172918,9919,8761,129,90.19,5.17,4.57,0.07,60,0,217010,10511,122115,621,2936,7675,166,5790,15,62.0493,2.8653,33.2884,0.1693,0.0453,1.5783,0.0041,42.9165592,5.8780038
s_467,49.4991717,5.624659,18.0455046,160694,1872,97807,292,22134,64.6495,0.662,34.5853,0.1033,137010,8162,2685,82,92.61,5.52,1.81,0.06,60,0,179664,8646,89613,325,4551,5139,106,934,3,65.5247,2.9919,31.01,0.1125,0.0367,0.3232,0.001,42.1666205,5.416765
s_468,50.131057,5.5638499,18.0845059,224992,10757,218704,1691,24444,51.9023,2.2383,45.5076,0.3519,218612,28628,8266,358,85.44,11.19,3.23,0.14,60,0,259413,29898,184692,1816,4769,11342,542,4370,26,55.4522,6.0173,37.1712,0.3655,0.1091,0.8795,0.0052,41.8930895,5.3769773
s_469,55.1539086,4.9964165,15.8770604,140450,491,104999,217,5230,57.9505,0.1953,41.7679,0.0863,94463,2631,2083,61,95.19,2.65,2.1,0.06,60,0,149857,2799,97147,252,1332,5632,25,900,3,60.7958,1.0851,37.6616,0.0977,0.0097,0.3489,0.0012,44.5815369,5.4248186
