sid,scaden_epi,scaden_lymph,scaden_conn,epi_pan_neo,inflam,connective,dead,epi_pan_non_neo,epi_pan_perc,inflam_perc,connective_perc,dead_perc,epi_mon,lymph,macro,neutro,epi_mon_perc,lymph_perc,macro_perc,neutro_perc,epi_manual,lymph_manual,combined_neo_epi,combined_inflam,combined_conn,combined_dead,combined_epi_non_neo,combined_mon_unique_epi,combined_lymph,combined_macro,combined_neutro,combined_epi_perc,combined_inflam_perc,combined_conn_perc,combined_dead_perc,combined_lymph_perc,combined_macro_perc,combined_neutro_perc,scaden_own_epi,scaden_own_lymph
s_233,47.694274,5.7065058,18.9442717,96314,1935,178613,776,7747,36.4634,0.678,62.5867,0.2719,69150,7389,2906,178,86.85,9.28,3.65,0.22,40,0,111220,8051,163055,866,2193,2897,93,1363,7,40.1422,2.7787,56.2753,0.2989,0.0321,0.4704,0.0024,41.1536693,5.1677855
s_234,46.9258554,5.9158934,18.8257776,76109,743,74203,133,2737,51.2236,0.4827,48.2072,0.0864,63920,3375,1281,79,93.1,4.92,1.87,0.12,40,0,85771,3593,63542,213,806,2821,36,469,3,56.8494,2.2848,40.4072,0.1354,0.0229,0.2982,0.0019,38.802603,4.9803841
s_235,48.6810984,5.7295635,18.7484434,145890,3523,195153,1190,6102,43.197,1.0013,55.4636,0.3382,101947,12555,5514,189,84.81,10.44,4.59,0.16,50,1,162258,13704,173052,1221,1623,4834,166,2748,20,46.914,3.8106,48.12,0.3395,0.0462,0.7641,0.0056,41.1357403,5.4512078
s_237,48.427466,5.7583699,19.3604342,134674,1658,171066,398,4344,44.5371,0.5312,54.8043,0.1275,97678,7398,3141,136,90.15,6.83,2.9,0.13,40,0,151271,7863,151334,497,1175,4940,87,1808,14,49.339,2.465,47.4418,0.1558,0.0273,0.5668,0.0044,39.4852532,5.3109707
s_238,46.7576513,5.7407918,19.697078,84852,1017,110039,232,4072,44.4149,0.508,54.9612,0.1159,68193,4615,3485,77,89.29,6.04,4.56,0.1,40,0,99199,4935,94715,290,1073,2986,40,1678,5,50.3892,2.4082,46.2203,0.1415,0.0195,0.8189,0.0024,38.221646,5.4578033
s_239,41.72215,6.447058,21.3368245,204337,4609,254880,1511,10138,45.1075,0.9693,53.6053,0.3178,155326,18054,13283,200,83.12,9.66,7.11,0.11,50,0,234149,19251,217949,1380,2746,6275,291,9173,43,49.4995,3.9187,44.3656,0.2809,0.0592,1.8673,0.0088,36.6004183,5.3428275
s_24,43.2417468,6.43415,20.7363823,90556,459,134803,185,4807,41.3167,0.1989,58.4043,0.0802,75365,2900,1304,40,94.67,3.64,1.64,0.05,40,1,107783,3023,118404,205,1395,3790,30,529,0,48.039,1.2855,50.3506,0.0872,0.0128,0.225,0,36.927689,5.1208526
s_241,49.6525516,5.6760223,18.350532,259895,2280,162276,565,15583,62.5235,0.5175,36.8308,0.1282,211092,10778,4231,237,93.26,4.76,1.87,0.1,60,1,286764,11716,137097,749,4273,7413,121,1674,11,66.3491,2.6046,30.4783,0.1665,0.0269,0.3722,0.0024,40.5455107,5.3742318
s_242,45.2004134,6.1358686,20.3113192,160773,3195,294436,806,18246,37.4943,0.6692,61.6677,0.1688,149175,12796,4705,211,89.39,7.67,2.82,0.13,40,1,196878,13936,261044,899,4699,6944,136,1890,5,42.8675,2.8649,53.6652,0.1848,0.028,0.3885,0.001,37.6187778,5.0257206
s_243,51.3098184,5.5488849,17.7487402,381467,4115,321322,1204,25092,55.4499,0.5612,43.8246,0.1642,291252,15583,9838,782,91.75,4.91,3.1,0.25,60,0,426595,16992,281049,1972,6592,10878,179,3915,17,59.352,2.2711,37.5639,0.2636,0.0239,0.5233,0.0023,41.7751403,5.6470612
s_245,45.8456555,5.8374333,21.0561413,309626,4121,374943,877,18644,46.352,0.5819,52.9423,0.1238,284268,17540,3602,456,92.94,5.73,1.18,0.15,70,1,363356,18519,321239,1282,3815,11836,181,1863,2,52.4873,2.5646,44.4872,0.1775,0.0251,0.258,0.0003,37.472069,5.1208109
s_246,47.7005814,5.644395,19.8914785,95950,1157,142804,174,8704,42.0654,0.4651,57.3996,0.0699,85454,5107,2229,158,91.94,5.49,2.4,0.17,40,0,114235,5548,126384,318,2304,3573,63,757,2,47.4406,2.1913,49.9178,0.1256,0.0249,0.299,0.0008,39.205653,5.2750266
